Time,CO2 (ppm)
44.9,2152.633667
45,2152.633667
45.1,2137.374878
45.2,2143.478394
45.3,2225.30365
45.4,2231.407166
45.5,2219.390869
45.6,2225.30365
45.7,2219.390869
45.8,2149.581909
45.9,2152.633667
46,2152.633667
46.1,2152.633667
46.2,2146.530151
46.3,2222.251892
46.4,2237.510681
46.5,2222.251892
46.6,2234.458923
46.7,2237.510681
46.8,2164.649963
46.9,2149.581909
47,2158.546448
47.1,2152.633667
47.2,2158.546448
47.3,2231.407166
47.4,2240.562439
47.5,2237.510681
47.6,2234.458923
47.7,2231.407166
47.8,2152.633667
47.9,2167.701721
48,2158.546448
48.1,2152.633667
48.2,2164.649963
48.3,2249.717712
48.4,2234.458923
48.5,2246.665955
48.6,2234.458923
48.7,2234.458923
48.8,2167.701721
48.9,2161.598206
49,2167.701721
49.1,2170.753479
49.2,2161.598206
49.3,2246.665955
49.4,2249.717712
49.5,2237.510681
49.6,2246.665955
49.7,2252.76947
49.8,2167.701721
49.9,2170.753479
50,2167.701721
50.1,2164.649963
50.2,2161.598206
50.3,2255.630493
50.4,2240.562439
50.5,2249.717712
50.6,2255.630493
50.7,2249.717712
50.8,2176.856995
50.9,2173.805237
51,2176.856995
51.1,2164.649963
51.2,2173.805237
51.3,2246.665955
51.4,2249.717712
51.5,2258.682251
51.6,2258.682251
51.7,2255.630493
51.8,2170.753479
51.9,2182.96051
52,2179.908752
52.1,2179.908752
52.2,2182.96051
52.3,2267.837524
52.4,2270.889282
52.5,2264.785767
52.6,2258.682251
52.7,2258.682251
52.8,2173.805237
52.9,2182.96051
53,2173.805237
53.1,2182.96051
53.2,2173.805237
53.3,2270.889282
53.4,2264.785767
53.5,2264.785767
53.6,2264.785767
53.7,2258.682251
53.8,2194.976807
53.9,2189.064026
54,2189.064026
54.1,2182.96051
54.2,2182.96051
54.3,2270.889282
54.4,2255.630493
54.5,2270.889282
54.6,2255.630493
54.7,2261.734009
54.8,2186.012268
54.9,2182.96051
55,2191.925049
55.1,2182.96051
55.2,2186.012268
55.3,2273.94104
55.4,2276.992798
55.5,2264.785767
55.6,2273.94104
55.7,2273.94104
55.8,2207.183838
55.9,2186.012268
56,2194.976807
56.1,2191.925049
56.2,2198.028564
56.3,2286.148071
56.4,2273.94104
56.5,2276.992798
56.6,2276.992798
56.7,2273.94104
56.8,2213.287354
56.9,2201.080322
57,2204.13208
57.1,2213.287354
57.2,2207.183838
57.3,2286.148071
57.4,2280.044556
57.5,2289.009094
57.6,2283.096313
57.7,2276.992798
57.8,2207.183838
57.9,2213.287354
58,2204.13208
58.1,2198.028564
58.2,2207.183838
58.3,2289.009094
58.4,2286.148071
58.5,2295.11261
58.6,2283.096313
58.7,2292.060852
58.8,2207.183838
58.9,2216.339111
59,2210.235596
59.1,2210.235596
59.2,2216.339111
59.3,2295.11261
59.4,2289.009094
59.5,2286.148071
59.6,2292.060852
59.7,2295.11261
59.8,2210.235596
59.9,2207.183838
60,2210.235596
60.1,2225.30365
60.2,2213.287354
60.3,2295.11261
60.4,2304.267883
60.5,2298.164368
60.6,2298.164368
60.7,2295.11261
60.8,2222.251892
60.9,2222.251892
61,2210.235596
61.1,2228.355408
61.2,2210.235596
61.3,2304.267883
61.4,2289.009094
61.5,2298.164368
61.6,2307.319641
61.7,2301.216125
61.8,2222.251892
61.9,2216.339111
62,2219.390869
62.1,2213.287354
62.2,2222.251892
62.3,2298.164368
62.4,2295.11261
62.5,2307.319641
62.6,2301.216125
62.7,2295.11261
62.8,2225.30365
62.9,2222.251892
63,2219.390869
63.1,2231.407166
63.2,2216.339111
63.3,2316.474915
63.4,2307.319641
63.5,2307.319641
63.6,2316.474915
63.7,2298.164368
63.8,2225.30365
63.9,2237.510681
64,2231.407166
64.1,2216.339111
64.2,2225.30365
64.3,2304.267883
64.4,2301.216125
64.5,2313.423157
64.6,2310.371399
64.7,2301.216125
64.8,2234.458923
64.9,2228.355408
65,2231.407166
65.1,2237.510681
65.2,2231.407166
65.3,2319.335938
65.4,2316.474915
65.5,2319.335938
65.6,2316.474915
65.7,2328.491211
65.8,2234.458923
65.9,2246.665955
66,2249.717712
66.1,2246.665955
66.2,2246.665955
66.3,2319.335938
66.4,2316.474915
66.5,2334.594727
66.6,2319.335938
66.7,2222.251892
66.8,2240.562439
66.9,2246.665955
67,2237.510681
67.1,2246.665955
67.2,2483.177185
67.3,2337.646484
67.4,2322.387695
67.5,2319.335938
67.6,2328.491211
67.7,2234.458923
67.8,2246.665955
67.9,2252.76947
68,2246.665955
68.1,2258.682251
68.2,2486.228943
68.3,2337.646484
68.4,2322.387695
68.5,2343.75
68.6,2334.594727
68.7,2240.562439
68.8,2249.717712
68.9,2249.717712
69,2246.665955
69.1,2252.76947
69.2,2480.316162
69.3,2334.594727
69.4,2334.594727
69.5,2337.646484
69.6,2337.646484
69.7,2240.562439
69.8,2267.837524
69.9,2252.76947
70,2252.76947
70.1,2258.682251
70.2,2498.435974
70.3,2340.698242
70.4,2337.646484
70.5,2331.542969
70.6,2331.542969
70.7,2255.630493
70.8,2270.889282
70.9,2255.630493
71,2258.682251
71.1,2258.682251
71.2,2489.280701
71.3,2334.594727
71.4,2346.801758
71.5,2337.646484
71.6,2346.801758
71.7,2240.562439
71.8,2258.682251
71.9,2267.837524
72,2261.734009
72.1,2255.630493
72.2,2477.264404
72.3,2337.646484
72.4,2337.646484
72.5,2343.75
72.6,2337.646484
72.7,2249.717712
72.8,2261.734009
72.9,2264.785767
73,2264.785767
73.1,2255.630493
73.2,2468.109131
73.3,2340.698242
73.4,2352.714539
73.5,2337.646484
73.6,2349.853516
73.7,2249.717712
73.8,2261.734009
73.9,2273.94104
74,2270.889282
74.1,2286.148071
74.2,2449.798584
74.3,2358.818054
74.4,2358.818054
74.5,2355.766296
74.6,2358.818054
74.7,2267.837524
74.8,2273.94104
74.9,2273.94104
75,2261.734009
75.1,2286.148071
75.2,2440.834045
75.3,2349.853516
75.4,2358.818054
75.5,2355.766296
75.6,2358.818054
75.7,2261.734009
75.8,2286.148071
75.9,2270.889282
76,2273.94104
76.1,2273.94104
76.2,2449.798584
76.3,2355.766296
76.4,2358.818054
76.5,2361.869812
76.6,2364.92157
76.7,2273.94104
76.8,2286.148071
76.9,2280.044556
77,2283.096313
77.1,2283.096313
77.2,2440.834045
77.3,2361.869812
77.4,2352.714539
77.5,2352.714539
77.6,2355.766296
77.7,2276.992798
77.8,2276.992798
77.9,2289.009094
78,2280.044556
78.1,2283.096313
78.2,2431.678772
78.3,2371.025085
78.4,2367.973328
78.5,2358.818054
78.6,2367.973328
78.7,2289.009094
78.8,2292.060852
78.9,2295.11261
79,2289.009094
79.1,2283.096313
79.2,2434.73053
79.3,2383.232117
79.4,2367.973328
79.5,2383.232117
79.6,2371.025085
79.7,2289.009094
79.8,2289.009094
79.9,2295.11261
80,2295.11261
80.1,2304.267883
80.2,2428.627014
80.3,2383.232117
80.4,2361.869812
80.5,2386.09314
80.6,2371.025085
80.7,2298.164368
80.8,2295.11261
80.9,2301.216125
81,2286.148071
81.1,2289.009094
81.2,2434.73053
81.3,2389.144897
81.4,2389.144897
81.5,2386.09314
81.6,2383.232117
81.7,2310.371399
81.8,2304.267883
81.9,2298.164368
82,2298.164368
82.1,2307.319641
82.2,2416.419983
82.3,2392.196655
82.4,2392.196655
82.5,2371.025085
82.6,2386.09314
82.7,2298.164368
82.8,2298.164368
82.9,2295.11261
83,2307.319641
83.1,2307.319641
83.2,2431.678772
83.3,2380.180359
83.4,2395.248413
83.5,2392.196655
83.6,2386.09314
83.7,2295.11261
83.8,2310.371399
83.9,2298.164368
84,2304.267883
84.1,2301.216125
84.2,2413.55896
84.3,2380.180359
84.4,2395.248413
84.5,2389.144897
84.6,2389.144897
84.7,2310.371399
84.8,2319.335938
84.9,2304.267883
85,2307.319641
85.1,2301.216125
85.2,2416.419983
85.3,2389.144897
85.4,2389.144897
85.5,2395.248413
85.6,2377.128601
85.7,2313.423157
85.8,2307.319641
85.9,2310.371399
86,2313.423157
86.1,2316.474915
86.2,2431.678772
86.3,2407.455444
86.4,2395.248413
86.5,2401.351929
86.6,2401.351929
86.7,2313.423157
86.8,2316.474915
86.9,2310.371399
87,2322.387695
87.1,2316.474915
87.2,2422.523499
87.3,2398.300171
87.4,2401.351929
87.5,2404.403687
87.6,2401.351929
87.7,2322.387695
87.8,2316.474915
87.9,2322.387695
88,2322.387695
88.1,2328.491211
88.2,2428.627014
88.3,2395.248413
88.4,2404.403687
88.5,2404.403687
88.6,2404.403687
88.7,2328.491211
88.8,2322.387695
88.9,2328.491211
89,2322.387695
89.1,2325.439453
89.2,2425.575256
89.3,2407.455444
89.4,2413.55896
89.5,2410.507202
